feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
E_R_to_C__IDHmut-non-codel,0.0,0.0,0.0,40,1.92762751736097,0.38143540591270536,0.004667378976660945,0.49019607843137253,0.505050505050505,0.014981038996852526,0.4694872629879387,0.0,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHmut-non-codel,1.0,0.1974946410752369,0.1974946410752369,40,60.98704083316352,5.712580713137101e-14,0.14766837974131602,0.0196078431372549,0.027777777777777776,0.4739760294951054,0.7,0.3225670200730579,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_total__IDHwt,0.0,0.0,0.0,40,16.20102613478616,0.00030338344198930324,0.03922766618592291,0.0196078431372549,0.027777777777777776,0.1259103235082157,0.43788443415640715,0.0,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_R__IDHwt,1.0,0.9351530181159564,0.9351530181159564,40,60.41820523266938,7.591951595644964e-14,0.14629105383212926,0.0196078431372549,0.027777777777777776,0.4695551814645339,0.5127068335345041,0.23405681275122284,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_D_to_C__IDHwt,0.6,0.049786902992679155,0.0777170280870394,40,1.3844309026665087,0.5004660817106035,0.0033521329362385197,0.5882352941176471,0.5882352941176471,0.01075945075202559,0.47166025318617116,0.001253775418620413,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
E_R_to_C__IDHwt,0.225,-0.0228176347237734,0.03764824295550781,40,2.506718619048362,0.28554395335633087,0.006069536607865284,0.37254901960784315,0.39583333333333337,0.019481590217965097,0.4694872629879387,0.0012433331045271841,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
p_sheaf__IDHwt,0.975,0.3419068520565891,0.3419068520565891,40,97.47012122352112,6.833325383657937e-22,0.2360051361344337,0.0196078431372549,0.027777777777777776,0.7575134064679744,0.7,0.5026417082501038,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_margin,0.95,0.08201147977060433,0.1686297190807617,40,61.22711064343753,5.066427733437003e-14,0.14824966257490926,0.0196078431372549,0.027777777777777776,0.4758417920230266,0.6200527532672018,0.27250869975029457,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_min_distance,0.1,0.005210136832978974,0.006906306375230575,40,29.505143857374378,3.9177743404684753e-07,0.07144102628904207,0.0196078431372549,0.027777777777777776,0.22930659930618558,0.6200527532672018,0.013823268301319108,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
transport_dist_to__IDHmut-codel,0.85,-0.09862555435311152,0.11110294043203217,40,14.601302053545169,0.0006750991244929912,0.035354242260399925,0.0196078431372549,0.027777777777777776,0.11347766801360773,0.6200527532672018,0.05814649109621733,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
bio_dist_to__IDHmut-codel,0.975,0.19920230597669172,0.2380668243764529,40,14.567487455889705,0.0006866102640572558,0.035272366721282575,0.0196078431372549,0.027777777777777776,0.11321486941710661,0.6200527532672018,0.06654298360261036,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
sheaf_dist_to__IDHmut-codel,0.075,0.006102883726488484,0.006102883726488484,40,5.720290449818094,0.05726044401884426,0.013850582202949381,0.058823529411764705,0.07407407407407407,0.04445666682501525,0.6200527532672018,0.0019142693518009288,idh_codel_subtype,strict_no_idh_no_grade_no_clusters,IDHmut-codel;IDHmut-non-codel;IDHwt,"IDH/codel subtype with IDH, grade, and cluster leakage controls"
