model,edge,crossfit_or_reference_mse,median_edge_energy
bio_constrained_nonnegative,D_to_R,0.6550350880283777,0.4682195984204919
bio_constrained_nonnegative,D_to_C,0.7706297970652761,0.5141244576035691
bio_constrained_nonnegative,R_to_C,0.793941949379421,0.5499383633750241
bio_constrained_nonnegative,ALL,2.219606834473075,1.7502827118220128
identity_projection,D_to_R,1.5180317379903903,1.1222203455897901
identity_projection,D_to_C,1.4235336893810324,1.0838236983641485
identity_projection,R_to_C,1.6997686899594755,1.324100236038929
identity_projection,ALL,4.6413341173308975,4.02712940403269
random_projection,D_to_R,1.7675049173051218,1.4429485768222277
random_projection,D_to_C,1.3142508218249374,0.968784052789683
random_projection,R_to_C,1.7586252482734237,1.3253445412912335
random_projection,ALL,4.840380987403482,4.347394278375854
reference_bio_constrained_lowrisk,D_to_R,0.7152136831654748,0.4736288810413183
reference_bio_constrained_lowrisk,D_to_C,0.8640123249071548,0.5730136542774191
reference_bio_constrained_lowrisk,R_to_C,0.9705747958973407,0.6424659865066807
reference_bio_constrained_lowrisk,ALL,2.54980080396997,1.827427265150651
reference_ridge_lowrisk,D_to_R,0.7918578664950584,0.5770199953858985
reference_ridge_lowrisk,D_to_C,0.8591373344229644,0.5856099424612795
reference_ridge_lowrisk,R_to_C,1.3727425245302947,1.0140782840576048
reference_ridge_lowrisk,ALL,3.0237377254483166,2.412416541613931
ridge_unconstrained,D_to_R,0.6417621626725709,0.4453088906619932
ridge_unconstrained,D_to_C,0.7424534196651442,0.5048048245110882
ridge_unconstrained,R_to_C,0.7610820727307208,0.5347745280603509
ridge_unconstrained,ALL,2.145297655068436,1.683398734950602
shuffled_target_ridge,D_to_R,1.0448215472608524,0.9228768611810783
shuffled_target_ridge,D_to_C,1.012237640351957,0.7914424086101137
shuffled_target_ridge,R_to_C,1.0371928334380656,0.7941400930720641
shuffled_target_ridge,ALL,3.0942520210508753,2.6574681459117886
