model,edge,crossfit_or_reference_mse,median_edge_energy
bio_constrained_nonnegative,D_to_R,0.6550350880283777,0.4682195984204919
bio_constrained_nonnegative,D_to_C,0.7706297970652761,0.5141244576035691
bio_constrained_nonnegative,R_to_C,0.793941949379421,0.5499383633750241
bio_constrained_nonnegative,ALL,2.219606834473075,1.7502827118220128
identity_projection,D_to_R,1.5180317379903903,1.1222203455897901
identity_projection,D_to_C,1.4235336893810324,1.0838236983641485
identity_projection,R_to_C,1.6997686899594755,1.324100236038929
identity_projection,ALL,4.6413341173308975,4.02712940403269
random_projection,D_to_R,2.007991652756126,1.7569928625831996
random_projection,D_to_C,2.419320958502076,2.1766118229805773
random_projection,R_to_C,1.3563518296110926,1.0623378718431802
random_projection,ALL,5.783664440869296,5.1444924271908175
reference_bio_constrained_lowrisk,D_to_R,0.7152136831654748,0.4736288810413183
reference_bio_constrained_lowrisk,D_to_C,0.8640123249071548,0.5730136542774191
reference_bio_constrained_lowrisk,R_to_C,0.9705747958973407,0.6424659865066807
reference_bio_constrained_lowrisk,ALL,2.54980080396997,1.827427265150651
reference_ridge_lowrisk,D_to_R,0.7918578664950584,0.5770199953858985
reference_ridge_lowrisk,D_to_C,0.8591373344229644,0.5856099424612795
reference_ridge_lowrisk,R_to_C,1.3727425245302947,1.0140782840576048
reference_ridge_lowrisk,ALL,3.0237377254483166,2.412416541613931
ridge_unconstrained,D_to_R,0.6417621626725709,0.4453088906619932
ridge_unconstrained,D_to_C,0.7424534196651442,0.5048048245110882
ridge_unconstrained,R_to_C,0.7610820727307208,0.5347745280603509
ridge_unconstrained,ALL,2.145297655068436,1.683398734950602
shuffled_target_ridge,D_to_R,1.0460114680965356,0.930062764512996
shuffled_target_ridge,D_to_C,1.0155577702920306,0.8238932363505477
shuffled_target_ridge,R_to_C,1.0193818347980068,0.8220756796922514
shuffled_target_ridge,ALL,3.0809510731865735,2.7151921225798663
