feature,selection_frequency,mean_signed_coefficient,mean_abs_coefficient,n_sparse_models,association_statistic,association_p,effect_size,empirical_permutation_p,q_value,normalized_effect,transport_stability_weight,CSDS,task,protocol,label_classes,description
E_D_to_R__G4,1.0,-0.4199561750743796,0.43366452059167726,40,61.87266945473948,3.6687704348206235e-14,0.14766746886572668,0.0196078431372549,0.02898550724637681,0.5329013887617682,0.4806638703028183,0.24872190940293545,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_dist_to__G4,0.95,0.16509681381238667,0.16509681381238667,40,45.90619065456349,1.0754676633556496e-10,0.10956131421136871,0.0196078431372549,0.02898550724637681,0.3953841489007465,0.615510405167195,0.22449360321378461,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_margin,0.95,0.12994475860723426,0.1467775048981404,40,31.65020579401221,1.34043307755436e-07,0.07553748399525587,0.0196078431372549,0.02898550724637681,0.2725991745767951,0.615510405167195,0.15477800792972732,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
transport_min_distance,0.75,0.07482535677485155,0.08045800645704367,40,29.833113552790792,3.3252300994746345e-07,0.07120074833601621,0.0196078431372549,0.02898550724637681,0.256948791501543,0.615510405167195,0.11517784640446198,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_R_to_C,1.0,0.7166292602001227,0.7166292602001227,40,26.05019837789814,2.2043030217337673e-06,0.0621723111644347,0.0196078431372549,0.02898550724637681,0.22436702691899285,0.3954484098157291,0.08615382795193198,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_C,0.925,0.12747021224349717,0.1795957907973437,40,25.925847448397462,2.345706964274246e-06,0.06187553090309657,0.0196078431372549,0.02898550724637681,0.22329600826715978,0.41133681615844137,0.08249848750095098,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
frac_D_to_R,1.0,-0.149984475891201,0.17568617145972026,40,18.60972678104804,9.098067919538338e-05,0.044414622389136134,0.0196078431372549,0.02898550724637681,0.1602831966600709,0.4806638703028183,0.07480923029893055,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
energy_margin,1.0,0.2803406765586241,0.2826333479782298,40,12.882745284189014,0.001594216888846489,0.030746408792813876,0.0392156862745098,0.05555555555555555,0.11095743748425849,0.3764444871872407,0.03944879811707356,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
E_D_to_R,0.975,-0.25417019783749495,0.3090876946365514,40,9.6821317361198,0.007898630665138701,0.023107712974032937,0.0196078431372549,0.02898550724637681,0.08339096233963122,0.4806638703028183,0.03794816606229617,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
sheaf_dist_to__G3,0.325,0.009960334362634635,0.017877729377924305,40,22.207963282052106,1.5052271603854646e-05,0.053002299002510994,0.0196078431372549,0.02898550724637681,0.19127434744403746,0.615510405167195,0.037153625653016505,grade_label,strict_no_idh_no_grade_no_clusters,G2;G3;G4,"G2/G3/G4 grade with IDH, grade, and cluster leakage controls"
bio_dist_to__1,1.0,-1.0583058080879009,1.0583058080879009,40,32841.0,1.437737550130583e-20,0.5319416909620991,0.0196078431372549,0.0463458110516934,1.0,0.6420989899316556,0.6123403914677998,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
p_sheaf__G4,1.0,0.25402041831166694,0.25402041831166694,40,11804.0,4.0191916806570235e-15,0.4493760932944606,0.0196078431372549,0.0463458110516934,0.8447844959880738,0.7,0.5639425913503273,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
p_sheaf__G2G3,1.0,-0.2540204183116672,0.2540204183116672,40,31071.0,4.0191916806570235e-15,0.4493760932944606,0.0196078431372549,0.0463458110516934,0.8447844959880738,0.7,0.5639425913503273,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
transport_margin,1.0,-0.5414277804062079,0.5414277804062079,40,30306.0,4.809321908556628e-13,0.41369096209912537,0.0196078431372549,0.0463458110516934,0.7776998289998686,0.6420989899316556,0.47621701773422054,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
bio_dist_to__0,1.0,0.17260271337850483,0.17260271337850483,40,12635.0,7.137895544242562e-13,0.4106122448979592,0.0196078431372549,0.0463458110516934,0.7719121322401018,0.6420989899316556,0.4726729772346481,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R__G4,1.0,-0.3203848830936534,0.3203848830936534,40,29913.0,4.841555890466677e-12,0.39535860058309047,0.0196078431372549,0.0463458110516934,0.7432367255667122,0.4479344102312526,0.3174917964634205,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
transport_dist_to__1,0.725,-0.06502727671830656,0.06502727671830656,40,27139.0,3.3460552373185943e-06,0.2659591836734694,0.0196078431372549,0.0463458110516934,0.49997807690621304,0.6420989899316556,0.2219636592200995,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_R,0.875,0.09219948040764622,0.09219948040764622,40,17394.0,0.0009790245621497933,0.18861807580174927,0.0196078431372549,0.0463458110516934,0.3545841189108607,0.4479344102312526,0.1325356402719439,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R,1.0,0.2077426304221405,0.2077426304221405,40,18227.0,0.008862991799555365,0.14976093294460646,0.0196078431372549,0.0463458110516934,0.2815363704125927,0.4479344102312526,0.12026516577733605,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
frac_D_to_C,0.975,-0.16170800299012922,0.16170800299012922,40,24287.0,0.02018181109399049,0.13292128279883375,0.0392156862745098,0.0784313725490196,0.2498794229841714,0.42819562433380104,0.09614019904498233,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_C,0.85,-0.11422908514860505,0.11422908514860505,40,23589.0,0.07945934718111908,0.10036151603498533,0.09803921568627451,0.15931372549019607,0.1886701451308807,0.42819562433380104,0.05772956581562698,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_C__G4,0.9,0.09592105446866853,0.09592105446866853,40,19713.0,0.15982079893291723,0.0804431486880467,0.3137254901960784,0.3707664884135472,0.15122550094269313,0.42819562433380104,0.0366709035085764,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_R_to_C,1.0,-0.40047722725882096,0.40047722725882096,40,20197.0,0.311996332016626,0.05786588921282798,0.23529411764705882,0.30588235294117644,0.10878239137107028,0.41149331657303423,0.031070945806960286,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
E_D_to_R__G2G3,0.35,0.020990717616261544,0.020990717616261544,40,18977.0,0.044880061069099114,0.11477551020408161,0.0784313725490196,0.13594771241830064,0.21576708905160694,0.4479344102312526,0.029228578692658477,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
energy_margin,0.125,-0.00810377601761239,0.00810377601761239,40,23613.0,0.07616240455972885,0.10148104956268211,0.058823529411764705,0.10924369747899158,0.19077476213443223,0.3946823896729262,0.008383735855988644,grade4_status,strict_no_grade_no_clusters,0;1,Grade 4 status with grade and cluster leakage controls
